PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
L5795	1	2	3	3
L3971	3	3	2	3
L3928	0	0	0	0
L5642	1	2	1	0
L6120	5	1	3	1
L8605	1	0	0	0
L8624	1	0	0	0
A7007	4726	4575	3721	3484
A4217	8688	8245	7771	7864
E0111	90	119	105	83
A4608	15	11	8	11
E0144	82	97	126	132
E0555	50	29	31	46
E1037	20	23	25	17
E2609	1042	1173	1130	1136
A4614	247	205	163	150
E0605	77	37	35	58
E1354	7	4	4	12
E0985	73	144	150	74
E0466	70502	73622	77588	82509
E0197	501	461	568	1043
K0041	83	113	83	74
E0982	473	496	504	527
E0995	519	570	558	590
E0572	39	32	31	20
E0480	159	171	137	115
K0841	112	106	87	86
E0189	329	457	557	446
K0843	54	38	48	39
E2218	69	61	81	72
E1236	125	136	144	147
E0994	49	72	44	23
E2629	0	0	0	0
K0863	1	4	1	2
E0920	8	8	8	5
