Var1	Freq
04000055341	0
04000055342	0
0400005535	0
04000055359	2
04000055368	0
04000055376	0
04000055380	0
04000055387	0
04000055427	2
04000055464	0
04000055480	0
04000055494	0
04000055513	0
04000055522MED	0
04000055534	0
04000055558	0
04000055599	0
04000055600	0
04000055616	0
04000055649	0
04000055668	0
04000055674	0
04000055695	0
04000055709	0
04000055710BIO	0
04000055712	0
04000055722	0
04000055759	0
04000055782	0
04000055788	0
04000055789	0
04000055797	0
04000055818	0
04000055821	0
04000055852	0
04000055863	0
04000055875	0
04000055883	0
04000055907	0
04000055926	0
04000055927	0
04000055956	0
04000055957	0
04000055995	0
04000055999	0
04000056093	0
04000056130	0
04000056171	0
04000056277	0
04000056285	0
04000056378	0
04000056504	0
040000567671	0
0400005699	0
04000057013	0
04000057022	0
04000057037	0
04000057039	0
04000057060	0
04000057068	0
04000057096	0
04000057113	0
04000057131	0
04000057143	0
04000057148	0
04000057149	0
04000057150	0
04000057159	0
04000057175	0
04000057183	0
04000057193	0
04000057226	0
04000057254	0
04000057293	0
04000057309	0
04000057330	0
04000057343	0
04000057351	0
04000057369	0
04000057384	0
04000057387	0
04000057388	0
04000057390	0
04000057391	0
04000057417	0
04000057421	0
04000057426	0
04000057450	0
04000057501	0
04000057502	0
04000057584	0
04000057592	0
04000057595	0
04000057631	0
04000057635	0
04000057661	0
04000057669	0
04000057711	0
04000057729	0
04000057742	0
04000057802	0
04000057806	0
04000057814	0
0400005782	0
04000057828	0
04000057870	0
04000057873	0
04000057889	0
04000057891	0
04000057898	0
04000057904	0
04000057910	0
04000057919	0
04000057933	0
04000057951	0
04000057965	0
04000057966	0
04000057967	0
04000057968	0
04000057969	0
04000057971	0
04000057972	0
04000057975	0
04000057976	0
04000057979	0
04000057980	0
04000057981	0
04000057982	0
04000057983	0
04000057984	0
04000057986	0
04000058008	0
04000058018	0
04000058024	0
04000058046	0
04000058055	0
04000058066	0
04000058075	0
04000058094	0
04000058099	0
04000058122	2
04000058139	0
04000058191	0
04000058292	0
04000058827	0
04000059000	0
040000593242	0
04000059359	0
04000059364	0
04000059448	0
04000059627	0
04000059650	0
04000059662	0
04000059682	0
04000059769	0
04000059835	0
0400005S	0
04000060045	0
04000060111	0
04000060161	0
04000060205	0
04000060247	0
04000060252	0
04000060265	0
04000060300	0
04000060310	0
04000060570	0
04000060630	0
04000060664	0
040000607205	0
04000060841	0
04000062764	0
04000063705	0
040000638068	0
04000063921	0
04000064770	0
04000065140	0
04000065210	0
04000067020	0
04000068246	0
04000068570	0
04000068655	6
04000068756	0
04000068762	0
04000068810	0
0400006886	0
04000068915	0
04000069060	0
0400006985	0
0400006R	0
04000070064	0
04000070136	0
04000070143	0
04000070147	0
04000070257	0
04000070272	0
04000070368	0
04000070382	0
04000070440	0
04000070445	0
04000070500	0
04000070535	0
04000070603	0
04000070895	0
04000070960	0
04000070977	0
04000071002	0
04000071014	0
04000071050	0
04000071116	0
04000071118	0
04000071147	0
04000071271	0
04000071288	0
04000071294	0
04000071505	0
04000071535	0
04000071540	0
04000071547	0
04000071548	0
04000071720	0
04000071721	0
04000071722	0
04000071723	0
04000071735	0
04000071765	0
04000072050	0
04000072454	0
04000072565	0
04000073031	0
04000073295	0
04000073335	0
04000073441	0
04000073659	0
04000073700	0
04000073716	0
04000073725	0
04000073751	0
04000073791	0
04000073822	0
0400007390	0
04000074110	0
04000074160	0
04000074330	0
04000074550	0
04000074605	0
04000074865	0
04000074869	0
04000075050	0
04000075055	0
04000075081	0
04000075172	0
04000075173	0
04000075180	0
04000075331	0
04000075470	0
04000075481	0
04000075492	0
04000075500	0
04000075536	0
04000075562	0
04000075573	0
04000075578	0
04000075600	0
04000075784	0
04000076402	0
04000076445	0
040000767	0
04000076742	0
04000077049	0
04000077150	0
04000077732 0003	0
04000077806	0
0400007817	0
04000078430	0
04000078635	0
04000078969HUG	0
04000079444	0
0400007R	0
0400007T	0
04000080014	0
04000080020	0
04000080021	0
04000080023	0
04000080028	0
04000080032	0
04000080039	0
04000080050	0
04000080083	0
040000-80120	0
04000080125	0
04000080206	0
04000080214	0
04000080224	2
04000080231	0
04000080235	0
04000080275	0
04000080285	0
04000080295	0
04000080316	0
04000080321	0
04000080396	0
04000080398	0
04000080441	0
04000080511	0
04000080527	0
04000080546	0
0400008059	0
04000080625	0
04000080636	0
04000080637	0
04000080648	0
04000080875	0
04000080940	0
04000081003	0
04000081024	0
04000081030	2
04000081041	0
04000081049	0
04000081050	0
04000081059	0
04000081067	0
04000081073	0
04000081077	0
04000081087	0
04000081130	0
04000081159	0
04000081167	0
04000081173	0
04000081178	0
04000081207	0
04000081226	0
04000081266	0
04000081269	0
04000081276	0
04000081280	0
04000081343	0
04000081344	0
04000081379	0
04000081387	0
04000081388	0
04000081449	0
04000081463	0
04000081517	0
04000081537	0
04000081554	0
04000081577	0
04000081585	0
04000081604	0
04000081605	0
04000081657	0
04000081743	0
04000081770	0
04000081802	0
04000081830	0
04000081856	0
04000081882	0
04000081904	0
04000081923	0
04000081924	0
04000081970	0
04000081971	0
04000082004	0
04000082005	0
04000082011	0
04000082018	0
04000082028	0
04000082035	0
04000082045	0
04000082084	0
04000082097	0
04000082106	0
04000082113	0
04000082137	0
04000082188	0
04000082193	0
04000082215	0
04000082231	0
04000082255	0
04000082280	0
04000082281	0
04000082290	0
04000082306	0
04000082314	0
04000082320	0
04000082328	0
04000082333	0
04000082340	0
04000082352	0
04000082368	0
04000082370	0
04000082383	0
04000082385	0
04000082407	0
04000082427	0
04000082445	0
04000082446	0
04000082457	0
04000082462	0
04000082491	0
04000082500	0
04000082502	0
04000082522	0
04000082605	0
04000082613	0
04000082620	0
040000-82624	0
04000082632	0
04000082641	0
04000082642	0
04000082646	0
04000082678	0
04000082686	0
04000082711	0
04000082717	0
04000082720	0
04000082721	0
04000082724	0
04000082743	0
04000082746	0
04000082781	0
04000082799	0
04000082821	0
04000082830	0
